Wall time,Step,Value
1662476022.799229,3,0.002221509348601103
1662476023.4515526,4,0.0008910600445233285
1662476027.113228,10,0.0007677675457671285
1662476029.5618217,14,0.00088638806482777
1662476030.143339,15,0.0006925776251591742
1662476032.0988817,18,0.0007604109705425799
1662476032.7916474,19,0.0008001321693882346
1662476033.4491062,20,0.0007569410372525454
1662476034.7003677,22,0.0005801782244816422
1662476035.380744,23,0.0005495279910974205
1662476037.1976573,26,0.0006013025413267314
1662476037.813301,27,0.0005669083911925554
1662476044.844155,38,0.00035912651219405234
1662476046.018862,40,0.00033390786848030984
1662476050.4137077,47,0.00022304615413304418
1662476051.0489357,48,0.00020775571465492249
1662476051.723865,49,0.00019720362615771592
1662476052.9369144,51,0.0001882514334283769
1662476054.9138556,54,0.00016850123938638717
1662476056.722859,57,0.00016275866073556244
1662476058.563856,60,0.00015019800048321486
1662476059.1318252,61,0.00014766336244065315
1662476059.7137036,62,0.0001449856790713966
1662476060.3272645,63,0.0001412215206073597
1662476061.6139982,65,0.00013347963977139443
1662476062.2806966,66,0.00013103352102916688
1662476062.9959059,67,0.00012874066305812448
1662476063.6623974,68,0.00012591437553055584
1662476064.8359187,70,0.00012032653467031196
1662476065.5364223,71,0.00011855452612508088
1662476069.3852608,77,0.00010758498683571815
1662476070.7981377,79,0.00010352661047363654
1662476072.7183924,82,9.887846681522205e-05
1662476074.6882718,85,9.418439731234685e-05
1662476077.1840985,89,8.862656250130385e-05
1662476083.6874497,99,7.692975486861542e-05
1662476086.2620962,103,7.266165630426258e-05
1662476088.1487665,106,6.966393266338855e-05
1662476088.811847,107,6.872996891615912e-05
1662476090.1551316,109,6.689384463243186e-05
1662476094.8362124,116,6.117618613643572e-05
1662476098.2923627,121,5.768016126239672e-05
1662476100.982977,125,5.5217511544469744e-05
1662476101.6487727,126,5.464603964355774e-05
1662476102.9175198,128,5.356021210900508e-05
1662476104.212915,130,5.2536292059812695e-05
1662476107.9933093,136,4.980383891961537e-05
1662476108.6773355,137,4.9391339416615665e-05
1662476112.934515,144,4.679916310124099e-05
1662476114.2018282,146,4.6143111831042916e-05
1662476114.8329961,147,4.582762630889192e-05
1662476116.8665564,150,4.492180232773535e-05
1662476121.370822,157,4.301048829802312e-05
1662476123.2120004,160,4.226680175634101e-05
1662476124.5883281,162,4.182411066722125e-05
1662476125.9078841,164,4.156934664933942e-05
1662476129.7078245,170,4.1655344830360264e-05
1662476130.2902904,171,4.002212517661974e-05
1662476130.9036732,172,3.9936167013365775e-05
1662476134.1415608,177,3.904401819454506e-05
1662476136.7260835,181,3.8036461774026975e-05
1662476138.4307263,184,3.791849667322822e-05
1662476139.034409,185,3.738088344107382e-05
1662476139.645443,186,3.7281180993886665e-05
1662476142.137361,190,3.6560861190082505e-05
1662476142.7186375,191,3.6512687074719e-05
1662476143.3247125,192,3.653099702205509e-05
1662476147.7626483,199,3.5341006878297776e-05
1662476149.5775166,202,3.490285962470807e-05
1662476150.126001,203,3.480954183032736e-05
1662476150.7860715,204,3.4660679375519976e-05
1662476151.4606407,205,3.447269773459993e-05
1662476152.7948363,207,3.417111292947084e-05
1662476155.3782718,211,3.369753903825767e-05
1662476156.6508923,213,3.3403863199055195e-05
1662476157.9603052,215,3.3175347198266536e-05
1662476160.556345,219,3.272546746302396e-05
1662476161.1752625,220,3.2601485145278275e-05
1662476161.785395,221,3.2478070352226496e-05
1662476163.7563083,224,3.2138003007275984e-05
1662476167.2262802,229,3.165709495078772e-05
1662476173.5826206,239,3.221466613467783e-05
1662476174.7630835,241,3.3630614780122414e-05
1662476176.6017852,244,3.240770092816092e-05
1662476177.208062,245,3.0893254006514326e-05
1662476177.8495367,246,3.0169752790243365e-05
1662476182.8055737,254,3.024190300493501e-05
1662476185.3348465,258,2.9274022381287068e-05
1662476185.998255,259,2.9292692488525063e-05
1662476186.6522357,260,2.949047484435141e-05
1662476193.9274523,271,2.8385746190906502e-05
1662476195.8716407,274,2.8317457690718584e-05
1662476197.0661066,276,2.8197209758218378e-05
1662476198.4555876,278,2.7963345928583294e-05
1662476199.657322,280,2.7795958885690197e-05
1662476200.937335,282,2.771446088445373e-05
1662476202.8293025,285,2.7567893994273618e-05
1662476204.7061362,288,2.7334770493325777e-05
1662476205.932579,290,2.7179836251889355e-05
1662476209.1138191,295,2.68573930952698e-05
1662476210.3793876,297,2.674351526366081e-05
1662476211.1227145,298,2.6689904188970104e-05
1662476216.2874224,306,2.681645128177479e-05
1662476217.6056573,308,2.77920607913984e-05
1662476220.1655478,312,3.222371014999226e-05
1662476222.7357664,316,2.575407961558085e-05
1662476223.8949318,318,2.826431045832578e-05
1662476224.4922965,319,2.809886063914746e-05
1662476226.3393188,322,2.557558036642149e-05
1662476235.6007125,337,2.4670873244758695e-05
1662476236.223444,338,2.450085958116688e-05
1662476239.2202928,343,2.4318242139997892e-05
1662476240.4562926,345,2.4206585294450633e-05
1662476241.0612948,346,2.424957165203523e-05
1662476244.789174,352,2.3869433789514005e-05
1662476246.1945715,354,2.383092578384094e-05
1662476248.7186286,358,2.354698153794743e-05
1662476251.3840032,362,2.341720937693026e-05
1662476252.138983,363,2.336311445105821e-05
1662476252.7623184,364,2.3302965928451158e-05
1662476253.4573472,365,2.324200795555953e-05
1662476254.0441666,366,2.318687256774865e-05
1662476254.6843445,367,2.3138827600632794e-05
1662476261.8026125,378,2.2667574739898555e-05
1662476266.7888577,386,2.2337579139275476e-05
1662476269.1259348,390,2.2434622223954648e-05
1662476270.2782142,392,2.3027467250358313e-05
1662476271.4503593,394,2.478182068443857e-05
1662476273.242686,397,2.9548675229307264e-05
1662476276.2463474,402,2.2021893528290093e-05
1662476277.4951544,404,2.4954335458460264e-05
1662476280.7761674,409,2.266036972287111e-05
1662476283.362372,413,2.1202136849751696e-05
1662476283.9669206,414,2.1489195205504075e-05
1662476284.6000855,415,2.2022171833668835e-05
1662476288.528595,421,2.1453502995427698e-05
1662476289.1582234,422,2.1418078176793642e-05
1662476291.035033,425,2.07450648304075e-05
1662476291.7024403,426,2.0852861780440435e-05
1662476293.9708924,430,2.0612393200281076e-05
1662476297.1061282,435,2.0536253941827454e-05
1662476297.7313876,436,2.0427880372153595e-05
1662476298.3327105,437,2.0324245269875973e-05
1662476299.672127,439,2.024384230026044e-05
1662476300.9162202,441,2.024839704972692e-05
1662476302.2909088,443,2.016489816014655e-05
1662476302.9145727,444,2.0096887965337373e-05
1662476304.2703576,446,1.9979259377578273e-05
1662476306.862579,450,1.988805888686329e-05
1662476308.14217,452,1.982450885407161e-05
1662476310.795281,456,1.9653663912322372e-05
1662476313.6869893,460,1.9500881535350345e-05
1662476314.4176788,461,1.9466835510684177e-05
1662476316.891881,465,1.9339388018124737e-05
1662476317.4847455,466,1.931046790559776e-05
1662476318.788727,468,1.9262755813542753e-05
1662476320.1098185,470,1.9251492631155998e-05
1662476322.555358,474,1.9803559553110972e-05
1662476323.1198587,475,2.0215000404277816e-05
1662476326.1313193,480,2.496306478860788e-05
1662476326.7468193,481,2.5064480723813176e-05
1662476328.5981445,484,1.9875185898854397e-05
1662476330.463924,487,1.997847721213475e-05
1662476331.077889,488,2.0865440092165954e-05
1662476331.7631044,489,2.0993235011701472e-05
1662476333.1419814,491,1.9215616703149863e-05
1662476335.1360414,494,1.908818921947386e-05
1662476337.5898805,498,1.8645219824975356e-05
1662476340.037697,502,1.8769784219330177e-05
1662476340.6696353,503,1.8773660485749133e-05
1662476344.6430311,509,1.8225069652544335e-05
1662476345.2786694,510,1.827073901949916e-05
1662476345.9649587,511,1.8226081010652706e-05
1662476346.5900226,512,1.8112919860868715e-05
1662476347.1723502,513,1.797580625861883e-05
1662476347.8213246,514,1.7872300304588862e-05
1662476349.7685378,517,1.784784035407938e-05
1662476350.4493663,518,1.786297252692748e-05
1662476351.0251858,519,1.785738095350098e-05
1662476359.8551621,533,1.7381713405484334e-05
1662476360.523268,534,1.7355276213493198e-05
1662476361.7645338,536,1.7298605598625727e-05
1662476362.4181287,537,1.7270487660425715e-05
1662476363.0595064,538,1.7246504285139963e-05
1662476364.2959435,540,1.720615546219051e-05
1662476365.4630008,542,1.7191066945088096e-05
1662476366.7092311,544,1.7230862795258872e-05
1662476367.9067373,546,1.7391783330822363e-05
1662476368.5126681,547,1.7555246813572012e-05
1662476370.2984016,550,1.884157973108813e-05
1662476371.6183188,552,2.08015444513876e-05
1662476373.6124017,555,2.3898013751022518e-05
1662476374.2312078,556,2.346449764445424e-05
1662476378.0896997,562,1.8324031771044247e-05
1662476378.727832,563,1.9139386495226063e-05
1662476379.3216553,564,1.898949994938448e-05
1662476382.0515983,568,1.6588088328717276e-05
1662476383.9292035,571,1.744486144161783e-05
1662476385.1188495,573,1.6459531252621673e-05
1662476386.9471388,576,1.650899139349349e-05
1662476389.2433045,580,1.620921648282092e-05
1662476391.7103019,584,1.613268796063494e-05
1662476392.2878861,585,1.6181269529624842e-05
1662476394.1434684,588,1.5894644093350507e-05
1662476395.4417658,590,1.5726622223155573e-05
1662476396.0937786,591,1.5723755495855585e-05
1662476397.8965845,594,1.5774485291331075e-05
1662476399.1285481,596,1.5690699001424946e-05
1662476400.3606982,598,1.5556670405203477e-05
1662476400.9868922,599,1.5500445442739874e-05
1662476402.9678712,602,1.541007986816112e-05
1662476403.602166,603,1.5397461538668722e-05
1662476406.7994003,608,1.5323099432862364e-05
1662476410.0114467,613,1.5197007087408565e-05
1662476410.6683311,614,1.517625423730351e-05
1662476412.0175211,616,1.5144495591812301e-05
1662476414.5311093,620,1.519555280538043e-05
1662476415.845821,622,1.5375861039501615e-05
1662476416.4630864,623,1.5551589967799373e-05
1662476418.190632,626,1.6800209778011777e-05
1662476419.4789896,628,1.8540824385127053e-05
1662476420.052699,629,1.9624767446657643e-05
1662476422.628116,633,2.0163059161859564e-05
1662476425.2073314,637,1.4895391359459609e-05
1662476427.12314,640,1.6481189959449694e-05
1662476427.7383456,641,1.6594756743870676e-05
1662476428.348602,642,1.6125779438880272e-05
1662476428.9334497,643,1.5334002455347218e-05
1662476429.5353365,644,1.4648179785581306e-05
1662476432.6496308,649,1.5214710401778575e-05
1662476433.8763146,651,1.440959022147581e-05
1662476434.54116,652,1.4147022739052773e-05
1662476435.8865595,654,1.4326024938782211e-05
1662476436.5184438,655,1.4516981536871754e-05
1662476438.3665032,658,1.4252388609747868e-05
1662476439.7220898,660,1.393810089211911e-05
1662476444.059908,667,1.3856913938070647e-05
1662476445.9508858,670,1.3743296221946366e-05
1662476449.04939,675,1.36210164782824e-05
1662476449.7022593,676,1.3575758202932775e-05
1662476452.3288355,680,1.3475621017278172e-05
1662476454.9228516,684,1.3455326552502811e-05
1662476456.866272,687,1.3476954336510971e-05
1662476460.012147,692,1.4080570508667734e-05
1662476461.1493092,694,1.4896416359988507e-05
1662476462.418327,696,1.618158057681285e-05
1662476463.0231936,697,1.686410905676894e-05
1662476464.1736932,699,1.7762564311851747e-05
1662476466.1130514,702,1.7215925254276954e-05
1662476468.1082902,705,1.529151268186979e-05
1662476471.2221644,710,1.3789816875942051e-05
1662476474.3904552,715,1.3081917131785303e-05
1662476475.759709,717,1.2733792573271785e-05
1662476477.750808,720,1.3373045476328116e-05
1662476478.3077776,721,1.3278548067319207e-05
1662476479.5591092,723,1.2780902579834219e-05
1662476480.7951918,725,1.2598363355209585e-05
1662476481.4505765,726,1.2662781045946758e-05
1662476482.631714,728,1.2756075193465222e-05
1662476483.304686,729,1.269961467187386e-05
1662476484.5646317,731,1.2496519957494456e-05
1662476485.1752515,732,1.2434069503797218e-05
