Wall time,Step,Value
1662553159.6450968,2,0.02480011247098446
1662553159.9956353,3,0.0185213852673769
1662553161.8751907,7,0.01221577636897564
1662553165.7281415,14,0.0029374624136835337
1662553166.758387,16,0.0031935086008161306
1662553167.728711,19,0.002447050530463457
1662553168.3101032,20,0.001977762905880809
1662553169.6519952,23,0.0021156787406653166
1662553169.958059,24,0.0019919192418456078
1662553170.2400084,25,0.0017548189498484135
1662553170.7631583,26,0.0015740408562123775
1662553171.794831,28,0.0015010241186246276
1662553173.8602514,32,0.0010299268178641796
1662553174.354704,33,0.0010542075615376234
1662553175.2236297,36,0.001057199900969863
1662553175.502302,37,0.0009805959416553378
1662553176.5378199,39,0.0009240066865459085
1662553177.0207272,40,0.0009082684991881251
1662553178.012691,42,0.0008140910067595541
1662553178.5932581,43,0.0007875271257944405
1662553179.2036252,44,0.0007893162546679378
1662553180.320477,47,0.0007412543054670095
1662553181.822923,50,0.0006889666547067463
1662553182.4060562,51,0.0006788406171835959
1662553183.9460144,54,0.0006327483570203185
1662553189.136914,64,0.0005329417181201279
1662553190.6339018,67,0.0005090002669021487
1662553193.9165666,73,0.0004687319742515683
1662553195.9299183,77,0.00044509334838949144
1662553197.5577087,80,0.00042947556357830763
1662553198.0280519,81,0.00042378768557682633
1662553198.5956478,82,0.00041848464752547443
1662553200.221315,85,0.0004053394659422338
1662553200.7441761,86,0.00040079347672872245
1662553201.24751,87,0.00039663788629695773
1662553203.3448129,91,0.00038022565422579646
1662553205.3271227,95,0.0003655474283732474
1662553208.4972782,101,0.00034626410342752934
1662553210.0679657,104,0.0003377136599738151
1662553210.6551437,105,0.0003349908220116049
1662553212.3154275,108,0.00032747091609053314
1662553217.1603565,117,0.0003083193441852927
1662553218.1201375,119,0.0003047107020393014
1662553220.2608554,123,0.0002979354467242956
1662553221.9330773,126,0.00029318573069758713
1662553222.491438,127,0.00029165958403609693
1662553224.0020585,130,0.00028718626708723605
1662553226.7112,135,0.00028007346554659307
1662553228.3218195,138,0.0002757857146207243
1662553228.8920276,139,0.00027433884679339826
1662553229.8610322,141,0.00027153344126418233
1662553230.8081512,143,0.00026880449149757624
1662553231.3669863,144,0.00026742625050246716
1662553231.842104,145,0.0002660475147422403
1662553232.8475683,147,0.00026321198674850166
1662553234.0656004,149,0.0002601583837531507
1662553235.7347593,152,0.00025507595273666084
1662553236.8001888,154,0.0002517112297937274
1662553237.345524,155,0.00025031910627149045
1662553237.9283876,156,0.00024889997439458966
1662553238.43784,157,0.0002473475760780275
1662553240.5782442,161,0.0002408750297036022
1662553242.2541342,164,0.00023642346786800772
1662553247.0346832,173,0.00022257336240727454
1662553250.6010363,180,0.00021221900533419102
1662553251.1972141,181,0.00021076342090964317
1662553252.289938,183,0.00020790923736058176
1662553253.3651707,185,0.00020506697183009237
1662553254.3088048,187,0.00020223503815941513
1662553259.1835735,196,0.0001897858310258016
1662553262.426792,202,0.00018179701874032617
1662553266.5489745,211,0.00017386808758601546
1662553268.3672228,215,0.00016891951963771135
1662553268.6673656,216,0.000167261969181709
